page_url,title,description,delivery_method,instruction_type,what_will_learn,prerequisites,target_students,instructor|1|name,instructor_bio,review|1|reviewer_name,review|1|photo,review|1|review,review|2|reviewer_name,review|2|photo,review|2|review,review|3|reviewer_name,review|3|photo,review|3|review,review|4|reviewer_name,review|4|photo,review|4|review,languages,total_duration,total_duration_unit,content,short_description,accessibilities,live_class,job_assistance,capstone_project,average_salary
https://mindmajix.com/pmp-training,PMP Training,"<div class=""Curriculum_description__1LwKr""><p>PMP Training allows you to gain expertise for clearing the PMP Certification exam on the first attempt. The main objective of this training is to help the project management professionals in managing the project more efficiently throughout the Project Management Life Cycle. The PMP Training enables the trainees to gain extensive knowledge on the basics of Project Management. Through practice sessions and implementing your skills in a real-time environment, you can acquire hands-on knowledge of Project Management.</p></div>",Online,Instructor Paced,|The Process of Project Management|Integrating distinct parts effectively for effective project outcomes|The Project Life Cycle|The General Management Skills|Socioeconomic influences to apply the Work Breakdown Structure (WBS)|Risks associated with Project Management|Project Integration Management|Procurement & Stakeholder Management|,"What are the prerequisites for the PMP course?There are no specific prerequisites for learning PMP. Anyone interested in learning this course can join this training.
",|Project Managers|Team Leads/Team Managers|Software Developers|Project Executives/Project Engineers|Any professional aspiring to be a Project Manager|,Shubash,"Passion towards teaching made Shubash share the industrial experience he has got for further generations. He has got a total of seven years into the real-time industrial background and has trained over 520+ students.",sudipta adhikari ,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"I can confidently recommend you to experience the art of learning courses in professional way at Mindmajix. I did PMP Training, trainers initially understand trainees and then plan their approach accordingly. Thank You Mindmajix.
",Rishabh Goel,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"When I thought to go for PMP certification, my friend suggested me about this Mindmajix PMP training. I was happy that this training helped me a lot to gain confidence to get certified. Thank You.
",Ahmed said,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Want to learn course online? Want to get expert tips to gain additional knowledge? Despite beginner, want to perform like pro. You are at right place to learn things. Mindmajix helps you learn professional courses. I'm pretty impressed with PMP trainers approach to make trainees understand the concepts. Special thanks to the trainers.
",NaN,NaN,NaN,English,35,Hours,"['Introduction To PMP Certification Prep Course', 'Project Management Framework', 'Project Management Process', 'Project Integration Management', 'Project Scope Management', 'Project Time Management', 'Project Cost Management', 'Project Quality Management', 'Project Human Resource Management', 'Project Risk Management', 'Project Communication Management', 'Project Procurement Management', 'Project Stakeholder Management', 'Practice Test & Interview Questions']",Leverage the growing demand for Certified PMP Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹7,048,145"
https://mindmajix.com/confluence-training,Confluence Training,"<div class=""Curriculum_description__1LwKr""><p>Level up your Confluence skills by mastering all the fundamentals of Confluence from scratch to advanced techniques through our hands-on training sessions. You will gain a detailed overview of Confluence layout, content creation, Macros, etc., and also get an opportunity to work on two real-life industry-based projects during training which helps you in clearing the Confluence certification exam.</p></div>",Online,Instructor Paced,"|Creating spaces|Customizing the Confluence interface|Creating pages and blog posts|Adding text, graphics, and attachments in Confluence|Using labels and other navigation helpers|Inviting collaborators to spaces|","What are the prerequisites for the Confluence course?Confluence Cloud subscription from Atlassian is required for learning this course.
",|System administrators|Software engineers|Data architects|Aspirants who are willing to learn this technology.|,Harsha,"Having 5+ years of experience working closely with industry, Harha is one of the best-certified trainers of MindMajix. He has bagged Confluence, Jira and can deliver the best technology to our trainees.",Ahmed Agha,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Awesome response time to query resolution. Thanking you for resolving all my issues and helping me realize the tough concepts on Confluence through the highly insightful videos.,Bharath Reddy,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"I'll take an opportunity to thank Mindmajix for great learning experience. Trainers was Excellent, he clarifies each every topic in Confluence.",Jasmeen,https://cdn.mindmajix.com/mern/images/instructor-male.svg,The Confluence training and trainer knowledge are so excellent and satisfied me. Thank you Mindmajix for providing best training.,Juanita Bowler,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Confluence training is really awesome, I knew nothing about it before joining the course in Mindmajix. But now i have got the confidence that i can crack interview answering any type of questions shooted on Confluence... Thanks Mindmajix Team.",English,20,Hours,"['Introduction To Confluence', 'Confluence Essentials', 'Space Settings']",Leverage the growing demand for Certified Confluence Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹5,236,846"
https://mindmajix.com/jira-administration-training,Jira Administration Training,"<div class=""Curriculum_description__1LwKr""><p>Mindmajix Jira Administration Training: Learn building the applications using JIRA, Logging, and Profiling, User and group management, Precompiling JSP pages, Using project roles, JIRA search indexing, Security model Administrators types., etc. You will also get exposure to industry based Real-time projects in various verticals.</p></div>",Online,Instructor Paced,"|Product review and basic concepts|Advanced user and group management|Working with project role and Issue level security|Email integration with JIRA|Managing your installation and upgrading|Jira General administration (links, attachments, etc)|Enhancing the user experience|Jira extensions|","What are the prerequisites for the Jira Administration?




There are no specific prerequisites to learn Jira administration. Knowledge of Jira basics is beneficial.

",|Team Leaders|Application Developers|Test Engineers|Service Developers|Project Managers|Software Developers|QA/Testers|IT Service Managers|Process Managers|Product owners|Lean IT Practitioners|,Harsha,"Having 9+ years of experience working closely with industry, Harsha is one of the best-certified trainers of MindMajix. He has bagged Jira, Confluence and can deliver the best technology to our trainees.",Vishal Kulkarni,https://cdn.mindmajix.com/reviewer/vishal-kulkarni-jira-admin-review-29092021.jpg,A very good place to learn new technologies. I have learned Jira Administration online course here and it helped me a lot at my workplace. They teach everything from basics. All thanks to Mindmajix !!!!!,Abdulrahman Syed,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"I thought the Jira Administration training class was fantastic. It was definitely my favorite class. I thought the course matter was interesting and the instructor was very good at guiding people. He was engaged and he always communicated things in a clear way. Thanks, Mindmajix.
",Sandeep,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Better than classroom training. All technical issues are answered by the Mindmajix support team very quickly and Jira Administration trainer is highly skilled. Overall best investment and value for money. Good institute for Jira administration certification training.
",NaN,NaN,NaN,English,25,Hours,"['Jira For Business Projects', 'Jira for Agile Projects', 'Creating, sharing and configuring dashboards', 'Jira issue anatomy and fields', 'Built-in fields, custom fields and types', 'Working with screens-adding, copying, and editing/deleting screens', 'Workflows-issue statues, transitions', 'Users-adding, deleting, editing users', 'Mail queues', 'General administration (links, attachments, etc)', 'Project settings', 'Practice Test & Interview Questions']",Enroll now for Jira Administration and Get Expertise in Jira Project Management.,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹7,233,623"
https://mindmajix.com/jira-training,Jira Training and Certification Course Online,"<div class=""Curriculum_description__1LwKr""><p>This Jira Training from Mindmajix is focused on what you need to know to make efficient use of Jira. First, you’ll learn core Jira concepts, terminology, installation, create issues, track status, customize boards, and much more. Finally, you’ll work on reporting, dashboards, administrating, and more. This Jira Online Training is packed with practical examples and projects. Upon completion of this certification course, you’ll be ready to clear the exam and get started with managing projects with Jira.</p></div>",Online,Instructor Paced,|Install JIRA |Implement defect management in JIRA|Understand Agile development methodologies|Understand how to use JIRA Query Language (JQL) to search for issues in JIRA|Use JIRA for Test Case Management|Understand Creating and Configuring JIRA Agile boards Scrum|,"What are the prerequisites for the JIRA Training?There are no specific prerequisites to learn JIRA. Anyone interested to build a career in JIRA can join this training.
",|Team Leaders|Project Managers|Managers of Scrum teams|Scrum developers and Masters |Product owners|,Harsha,"Having 9+ years of experience working closely with industry, Harsha is one of the best-certified trainers of MindMajix. He has bagged Jira, Confluence and can deliver the best technology to our trainees.",Nitika yadav,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Mindmajix as a team is awesome and I am impressed with the kind of support they provide right from the registration gate point to till the passing of the certification exam. JIRA certification training helped me a lot to equip myself in the area of finance too...thank you Mindmajix team.,Syed Musab Navish,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"In my opinion, Mindmajix is something beyond an institute that provides best JIRA online training service. I am impressed with this kind of service. Thank you Mindmajix!
",Ajeet Pujari,https://cdn.mindmajix.com/reviewer/ajeet-pujari-review-17102021.jpg," 
Hi, I am Ajeet, I joined Jira online training at mindmajix to Build my career strong.  The trainer is good, He clarifies every small doubt clearly. Thank Mindmajix for providing the good trainer.",Ganesh Ega,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Joined for JIRA training at MindMajix which was excellent goal-oriented training. It was a good experience with live classes and interaction with the trainer. If you are looking for quality training and with job support then surely you can take training at Mindmajix.,English,25,Hours,"['Jira For Business Projects', 'Jira for Agile Projects', 'Configuring Dashboards in Jira', 'Reports in Jira', 'Issues in Jira', 'Fields in Jira', 'Screen-Addings in Jira', 'Workflow in Jira', 'User Management in Jira', 'Troubleshooting in Jira', 'Jira System', 'Security in Jira', 'User Interface in Jira', 'Import and Export in Jira', 'Jira Mail', 'Other Jira Topics', 'Practice Test & Interview Questions']",Leverage the growing demand for Certified JIRA Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹9,150,124"
https://mindmajix.com/ms-project-training,MS Project Training,"<div class=""Curriculum_description__1LwKr""><p>MS Project training course will teach you about planning and designing your own projects by using Microsoft Project. In this course, you will explore standardized best practices for project management using Microsoft project. You will gain skills and hands-on expertise in project planning, resource pooling, customizing reports, troubleshooting, and more through real-time industry use cases. By the end of the training, you will develop better insights into the Project management tool and will be able to manage complex projects effectively in real life. You will also develop proficiency in clearing the MS Project certification exam.</p></div>",Online,Instructor Paced,|Manage projects using MS Project|Manage assignments and resources within a project|Create a task-based schedule for each project|Track project status using distinct key features|Follow plans precisely and manage quick conflicts|Create reports and share project information|Manage budgets and anticipate risk|,"What are the prerequisites for the MS Project course?A basic understanding of the project and project environment is beneficial.
",NaN,Venkadesan,"Having 9+ years of experience working closely with industry, Venkadesan is one of the best-certified trainers of MindMajix. He has bagged Ms-Project, Primavera and can deliver the best technology to our trainees.",Kalyani,https://cdn.mindmajix.com/mern/images/instructor-male.svg,I am a Consultant and I wanted to learn MS Project. I searched so far many institute and later I found Mindmajix. Its a good  learning Experience. The trainer is very good and the explanation of subject is simply Exceptional.,William Smith,https://cdn.mindmajix.com/mern/images/instructor-male.svg,I am so happy towards Learning MS Project in Mindmajix . Its very well organized and explain each and every question which I asked without any hesitation. Many Thanks to Training Team.,Sravanth,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"My experience with Mindmajix started with MS Project Training, had a great experience with the team and support as well from the staff. The staff had great exposure in the domain and being a real time employee he had supported a lot for real time experience work.",sandeep kulkarni,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"A very good place to learn new technologies.I leaned MS project certification course here.The instructor teaches me each concept with a real-time scenario. Thanks to the trainer and MIndmajix.
",English,25,Hours,"['Introduction', 'Know MS Project', 'Creating Project']",Leverage the growing demand for Certified MS Project Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹6,505,215"
https://mindmajix.com/oracle-primavera-training,Primavera P6 Training and Certification Course Online,"<div class=""Curriculum_description__1LwKr""><p style=""text-align: justify;"">Mindmajix’s Primavera Training provides a strong foundation and expertise in implementing Project Portfolio Management solutions. You’ll master fundamentals of primavera such as portfolio and project configuration, enterprise data structures, administrative functions, and much more. The course contains real-time examples and projects for your better understanding of Primavera and successfully clear the Primavera P6 certification.</p></div>",Online,Instructor Paced,"||Primavera P6 is an enterprise project portfolio management software which is most widely used across organizations for effective project management solutions|||With the rising popularity of Primavera P6, the demand for Primavera P6 professionals is also growing across industries|||Many top companies are ready to give high payouts for certified Primavera P6 professionals|||The average annual salary of a Primavera P6 professional is $106,647, according to Ziprecruitercom|||Over 6995 companies are using Primavera P6 around the world, according to enlyftcom||","What are the prerequisites for the Primavera P6 course?There are no prerequisites for learning this course. A minimum understanding of the following is required:

Planning  
Scheduling
Construction processes

",||Civil Engineers|||Project Managers|||Associate Engineers|||Planning Engineers and Managers|||Construction Engineers||,Virendra,"Having 9+ years of experience working closely with industry, Virendra is one of the best-certified trainers of MindMajix. He has bagged Ms-Project and can deliver the best technology to our trainees.
",NITIKA YADAV,http://cdn.mindmajix.com/reviewer/nitika-yadav-primavera-p6-review-18092021.jpg,"I am an MBA graduate , I have completed Primavera P6 course in Mindmajix. Before that I searched a lot about the training institute and finally I found Mindmajix, then i attended demo class and I am fulfilled in that so I joined in Mindmajix.",syed musabh navish,http://cdn.mindmajix.com/reviewer/syed-musab-navish-primavera-p6-review-18092021.jpg,It's a very good online training institute for Primavera P6 & Faculty is also well experienced. trainer has got lot of patience to resolve every participant's query....that's really appreciated.,NaN,NaN,NaN,NaN,NaN,NaN,English,30,Hours,"['Introduction to Primavera', 'Creation Of Project', 'Relationships and Analysis', 'Resource', 'Updating Project and Reports', 'Practice Test & Interview Questions']",Enroll now for Primavera P6 Training and Get Expertise in Enterprise Project Portfolio Management Software,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹8,866,937"
https://mindmajix.com/agile-plm-training,Agile PLM Training and Certification Course Online,"<div class=""Curriculum_description__1LwKr""><p>Mindmajix Agile PLM training is designed to boost your skills and knowledge for a career as an Agile Administrator. The course starts with the basics of Agile PLM tool and progresses towards configuring and administering an Agile PLM system through hands-on training with real-time examples. You’ll also explore the advanced configuration functions necessary to set up and manage an Agile system with industry use cases and projects during training. Enroll now and get certified.</p></div>",Online,Instructor Paced,"|Innovation Management|Using Innovation Management and Configuring Object types|Configuring Innovation Management users, roles, and pages|Integrating Innovation Management with PLM|","What are the prerequisites for the Agile PLM course?




The learners should have working experience of the following:

Software development 
Testing
Business analysis
Project Management
Scrum


","|Executives and Leaders, Managers, Directors, CIOs, and VPs|Program and Project Managers|Development, QA, and Infrastructure Management professionals|Portfolio Managers, PMO, and Process Leads|Enterprise, System, and Solution Architects|Product and Product Line Management professionals|",Shailaja,"Passion towards teaching made Shailaja share the industrial experience she has got for further generations. She has got a total of three years into the real-time industrial background and has trained over 120+ students.
",sarah,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Mindmajix designed as flexible online Education Portal. I have finished Agile PLM  course from Mindmajix. It was an awesome involvement with Mindmajix. Much thanks to you.,praveen JL,https://cdn.mindmajix.com/mern/images/instructor-male.svg,I finished my Agile PLM training from Mindmajix. I should say that course content was exceptionally dependable and the coach secured even the slightest of concept. Overall it was a good experience with Mindamajix.,Natasha,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Good Hands-on Agile PLM Learning Experience. It was useful with recorded sessions and detailed course content. Trainer had covered every single Topic with ongoing situations. Thanks to trainer and Mindmajix Team.,Vishal Kulkarni [VK],http://cdn.mindmajix.com/reviewer/vishal-kulkarni-vk-agile-plm-review-18092021.jpg," 
A very good place to learn new technologies. I have learned Agile PLM  course here and it helped me a lot at my workplace.  Overall best investment and value for money. . They teach everything from basics. All thanks to Mindmajix",English,27,Hours,NaN,Leverage the growing demand for Certified Agile PLM Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹8,539,087"
https://mindmajix.com/scrum-training,Scrum Training and Certification Course Online,"<div class=""Curriculum_description__1LwKr""><p>Mindmajix provides hands-on Scrum training that gives the knowledge needed to work with Scrum in a highly practical way. You’ll master Scrum basics and lifecycle, and learn to organize a Scrum team, set up a project, Scrum implementation, and more. The course also prepares you to become a Certified Scrum Master, by making you work on various projects and tasks.<br/> </p></div>",Online,Instructor Paced,NaN,"What are the prerequisites for the Scrum course?There is no specific prerequisite for this training. Experience on all SDLC phases is beneficial.
",|Software Developers|Architects|Software Testers|Product Managers|Team Members or Team Leads|Product Owners|,Shalini,"Having 9+ years of experience working closely with industry, Shalini is one of the best-certified trainers of MindMajix. She has bagged Agile PMI, SCRUM, SAFE, CSPO, Six Sigma and can deliver the best technology to our trainees.",Ishika Tiwari,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Source code management made easy with Scrum and mindmajix helped me with their step-by-step procedures and well explained by the trainers. Thank You MindMajix.,jyothi,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"When I thought to go for Scrum certification, my friend suggested me about this training sessions. I was happy that these sessions helped me a lot to gain confidence to get certified. Thank You.",Vijay Netha,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Took the training for Scrum.  Extremely satisfied with the training.  Your commitment was very much appreciable. The way of communication was also excellent so that we did not face any major problems in any of the Sessions.,NaN,NaN,NaN,English,16,Hours,"['Introduction to Lean, Agile & Scrum', 'Scrum Overview', 'Scrum Artifacts']",Become an exceptional Scrum Master by practicing real-time exercises and simulations.,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹7,891,697"
https://mindmajix.com/agile-training,Agile Training,"<div class=""Curriculum_description__1LwKr""><p>Become an Agile Certified Practitioner by mastering the key fundamentals and tools of Agile Project Management with real-time experts. Our Agile training course will help you gain in-depth knowledge on each and every concept of Agile including principles, values, and frameworks such as Kanban, Scrum, Scrumban, etc., from the ground up. It also provides two real-time projects to boost your skills and successfully clear the Agile certification exam.</p></div>",Online,Instructor Paced,"|Agile concepts and its importance in any organization|Implementing Sprint backlog, create a product backlog, and hold Sprint planning meeting|Create realistic user personas|Perform estimation and prioritise the product backlog|Understand adopting best practices for software engineering|Enforce the Agile processes and become an Agile coach|","What are the prerequisites for the Agile course?There are no specific prerequisites to learn Agile. Having basic knowledge of Project Management is an added advantage.
",|Software Testers|Developers|Team Leads|QA Engineers|QA Managers|Business Analysts|,Shalini,"Having 6+ years of experience working closely with industry, Shalini is one of the best-certified trainers of MindMajix. She has bagged Scrum, Safe, CSPO, SIX SIGMA and can deliver the best technology to our trainees.",Arjun Gupta,https://cdn.mindmajix.com/mern/images/instructor-male.svg,Thank You for the sessions that helped me gaining knowledge in Agile. Trainers experience helped me to get detailed information regarding the key concepts and challenging tasks in real time. Thanks again.,Nehara,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Good Quality training with Real time experience trainers and hands on experience training.

",Mohammed uddin,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"MindMajix.. One stop for all the courses you need to learn with ease and by the experts. Trainers help you understand every concept in detail. I'm pretty impressed with the timings and sessions. Thank You MindMajix.

",Vishal Kulkarni,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"




A very good place to learn new technologies. I have learned Agile online course here and it helped me a lot at my workplace. They teach everything from basics. All thanks to Mindmajix

",English,24,Hours,"['PMI ACP Training & Certification Course Content', 'Agile Principles and Mindset - Part 1', 'Agile Principles and Mindset - Part 2', 'Value-Driven Delivery - Part 1', 'Value-Driven Delivery - Part 2', 'Stakeholder Engagement - Part 1', 'Stakeholder Engagement - Part 2', 'Team Performance - Part 1', 'Team Performance - Part 2', 'Adaptive Planning - Part 1', 'Adaptive Planning - Part 2', 'Problem Detection and Resolution - Part 1', 'Problem Detection and Resolution - Part 2', 'Continuous Improvement - Part 1', 'Continuous Improvement - Part 2', 'Practice Test & Interview Questions']",Leverage the growing demand for Certified Agile Professionals,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹8,664,025"
https://mindmajix.com/confluence-administration-training,Confluence Administration Training,"<div class=""Curriculum_description__1LwKr""><p>MindMajix Confluence Administration Training: Experience the real-time implementation of confluence projects by exploring different features of Data management, backing-up, monitoring, Importing data into Confluence, Introduction to major Confluence add-ons. etc. Enroll &amp; Get ACP-200 Certified Confluence Administrator.</p></div>",Online,Instructor Paced,NaN,NaN,NaN,NaN,NaN,Radhika Reddy,https://cdn.mindmajix.com/mern/images/instructor-male.svg,"Never thought learning Confluence would be this easy. I sincerely thank Mindmajix for this wonderful training I got here. Amazing trainer, highly interactive sessions, great examples, what not! I got everything that is required to become an expert. Good job Mindmajix.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,English,30,Hours,"['Administration', 'Add-On Management', 'General Configuration', 'Application Links', 'Statistics', 'Troubleshooting', 'User Management', 'Confluence Space Administration']",,"Mobile,Desktop",TRUE,TRUE,TRUE,"₹2,895,749"
